Geoname ID,Coordinates
4924970,"41.34366, -86.30973"
2738224,"41.23451, -8.40297"
3127034,"42.60473, -8.6423"
7260490,"28.26027, -82.69261"
4251513,"38.72921, -89.88315"
2812502,"48.6227, 9.06355"
7343298,"34.71543, 103.4297"
3408422,"-7.36035, -39.04888"
2965882,"53.26973, -6.16058"
8441169,"15.1375, -23.53083"
1730468,"6.03556, 121.00667"
1830722,"11.73474, 106.21437"
6232082,"-36.88333, 174.91667"
1813166,"28.9895, 107.33006"
5807337,"47.73593, -122.64654"
2454934,"11.08943, -6.8929"
1269548,"28.17919, 77.70501"
3690172,"10.18694, -74.57528"
5265785,"42.92611, -89.38456"
3029392,"48.84099, 2.70165"
3515068,"22.99679, -99.71187"
672375,"46.83333, 27.43333"
2961461,"53.58278, -6.10833"
3521070,"17.15996, -92.899"
3037068,"42.54714, 3.02253"
2919438,"49.99951, 9.1844"
1278944,"8.7838, 77.39524"
3179546,"44.43556, 10.40329"
715302,"48.15993, 21.2097"
12750573,"3.11619, 101.7202"
743438,"40.91032, 38.5013"
2525426,"37.25759, 13.91811"
1276738,"19.20306, 81.92959"
10104034,"51.34324, -0.20003"
1152180,"18.46456, 99.14026"
2788299,"50.65147, 4.10683"
5124753,"40.76289, -73.73225"
4830759,"31.02379, -87.49387"
4614214,"36.10341, -84.13186"
467753,"54.57735, 33.18474"
2937217,"47.95085, 11.10306"
2751729,"52.84618, 5.70912"
8858160,"19.78194, -99.0175"
11592294,"56.02676, -3.81462"
675606,"46.43372, 21.84048"
3085656,"52.59914, 15.50652"
1253947,"24.73355, 75.97514"
3984690,"20.34722, -102.01583"
2844616,"49.39567, 10.88848"
188714,"0.31354, 34.07146"
3905660,"-14.9947, -65.64074"
3441483,"-34.3, -57.23333"
2511010,"38.53729, -0.81779"
3605005,"14.15661, -88.03466"
3520875,"19.22796, -97.80307"
13512419,"49.03723, -122.30168"
2988657,"45.83871, 1.30995"
676163,"44.68555, 27.95009"
3994164,"19.41222, -101.60677"
4166096,"26.19147, -80.14421"
761546,"51.17983, 22.13093"
1017565,"-33.39786, 25.48283"
1268449,"12.77029, 79.41999"
1787443,"26.36667, 107.5"
2509562,"38.32277, -4.62873"
8400051,"31.61941, 108.56406"
1702348,"9.2504, 124.7156"
2642372,"53.16674, -3.14143"
2849446,"50.24921, 12.03422"
3382527,"5.15526, -54.34311"
4517009,"39.88645, -83.44825"
3071669,"49.70121, 17.07615"
5772418,"40.70661, -111.82188"
493839,"48.28071, 41.04592"
11071412,"22.24245, 76.15044"
190108,"-4.17375, 39.45206"
2954065,"47.95083, 9.63745"
565857,"52.16528, 40.47306"
1809752,"33.81652, 104.53227"
2660947,"46.60735, 6.80895"
3456946,"-27.10278, -53.40194"
3692747,"-8.221, -78.97698"
4881024,"42.72581, -92.47546"
1786811,"34.9644, 103.66049"
3012725,"50.62328, 2.45902"
3432355,"-27.03751, -58.70498"
2968405,"49.25311, 3.09003"
591472,"59.30361, 24.41306"
956754,"-34.0211, 22.8055"
696280,"47.17704, 37.69273"
11656716,"8.15502, 77.50563"
12156863,"43.65927, -79.48571"
11237888,"1.29606, 103.83608"
13156889,"26.7685, 94.19297"
788357,"44.42771, 21.94596"
3128308,"42.61771, -6.41545"
12746544,"22.34639, 114.18766"
4754219,"39.04094, -77.4136"
12157110,"-6.779, -79.886"
921721,"-12.13554, 44.42493"
2657774,"53.50855, -2.59266"
5071934,"40.78084, -99.7415"
6690565,"51.57971, -0.12373"
3670383,"1.99244, -76.04335"
11345838,"12.69268, 78.63474"
741878,"40.34417, 26.68556"
6100932,"44.7834, -79.91637"
2282414,"10.43669, -5.63062"
3385826,"-5.99056, -37.81444"
1560781,"21.01667, 105.85"
6126326,"44.67336, -63.64488"
3437600,"-25.62075, -57.14724"
3448224,"-18.08444, -42.57139"
4675577,"33.57733, -96.17831"
4300105,"36.74172, -88.63672"
6166563,"48.45, -123.4"
2016735,"50.53378, 116.31831"
664891,"44.65, 25.53333"
11919741,"43.30545, 5.37443"
5122280,"40.86566, -73.9268"
3452256,"-22.85056, -51.02833"
8348424,"-32.13645, 115.98905"
159382,"-4.0, 33.7"
2657804,"51.54, -3.59556"
2804646,"52.34803, 13.62174"
3016274,"48.07346, 6.87787"
7871302,"43.5914, -79.53252"
575343,"54.08378, 37.82895"
1787342,"31.73986, 110.81493"
3440747,"-34.31667, -57.35"
8348473,"-27.93768, 153.36302"
2656594,"51.98781, -0.18835"
13308644,"22.56606, 113.86888"
4146440,"27.59587, -81.50619"
2966778,"54.11667, -9.16667"
5959538,"49.23333, -123.0"
2979183,"43.33404, 5.41733"
2742833,"40.62084, -8.64195"
3827335,"19.18953, -99.42089"
4989432,"43.03864, -85.67003"
3435765,"-27.4549, -55.02122"
1046919,"-17.42056, 35.06583"
283991,"31.65305, 35.15013"
2161903,"-36.8, 144.25"
973676,"-25.09468, 29.46186"
3031020,"45.03151, 5.04993"
3084237,"52.44429, 15.11676"
2893874,"51.32035, 6.1983"
4277011,"37.34034, -95.26108"
8348441,"-33.94799, 151.07979"
3072489,"50.01364, 14.48341"
4169176,"27.14422, -80.2006"
2525102,"38.05121, 13.53041"
2735565,"41.11838, -8.58765"
13308663,"22.56643, 113.95161"
2856107,"51.18333, 13.83333"
1529359,"47.20003, 89.30531"
1493870,"56.95327, 63.25231"
12687739,"5.9363, -5.32465"
12687515,"5.51902, -6.83564"
3586985,"13.84028, -89.44722"
5105957,"41.01065, -74.11792"
1511428,"55.48847, 60.87364"
3374210,"14.8961, -24.49556"
12522831,"23.72249, 86.52595"
3522265,"19.69985, -98.75638"
3069465,"49.56144, 16.07418"
8348839,"-33.9242, 151.06737"
2122783,"51.79681, 143.13645"
8349226,"-27.29246, 152.96783"
584562,"40.36613, 50.29198"
2857752,"49.36528, 8.58306"
284557,"32.36935, 35.07189"
6690802,"51.59893, 0.166"
467238,"55.19489, 36.59513"
6220348,"-43.51833, 172.57013"
2121367,"49.16804, 142.11571"
2845919,"52.25, 8.48333"
685997,"44.9, 28.71667"
2286734,"7.34141, -4.67709"
11888184,"61.27944, 73.18139"
3454962,"-10.2275, -44.63917"
2756351,"52.105, 6.05833"
2998320,"50.56345, 2.48042"
3028214,"49.28082, 1.02195"
741330,"40.34449, 41.86088"
2852233,"52.53184, 12.34845"
1729181,"7.57389, 126.56"
1011824,"-29.26679, 31.35755"
2638039,"51.39546, -0.44889"
2947465,"49.5875, 8.35778"
4943490,"42.43343, -71.44951"
965581,"-29.11597, 25.41435"
7373312,"33.73115, 105.56412"
3516948,"16.28141, -97.82277"
3188763,"43.5125, 16.25167"
9409273,"51.41187, -0.28423"
3037571,"50.32995, 3.25346"
2979072,"46.14434, 6.08256"
284339,"32.17689, 35.33541"
865729,"46.75432, 33.41665"
1694556,"17.38333, 121.13333"
1263010,"26.88817, 88.19007"
5391831,"33.00671, -116.78364"
2642313,"51.81265, -2.71363"
681384,"47.05, 27.56667"
8418769,"29.46196, 105.40473"
12156880,"43.71557, -79.48076"
5235952,"44.49061, -73.11096"
1655124,"18.4953, 102.4153"
3176311,"45.69137, 10.18635"
3620168,"11.87631, -86.05184"
1260645,"21.8262, 74.96908"
1492252,"52.9209, 87.9869"
3815201,"19.37831, -98.10654"
1159836,"26.23682, 61.39901"
2664989,"59.26671, 17.88407"
191963,"-2.79884, 37.53708"
1256063,"19.47953, 79.57558"
2657355,"51.17509, -1.78064"
3174653,"40.39301, 17.44571"
8417597,"30.24283, 106.36733"
3719436,"19.54934, -71.72475"
6154544,"44.61163, -63.61771"
2657844,"51.64733, -3.13476"
13589270,"48.46318, -89.20744"
2660944,"47.42575, 8.69094"
281657,"32.28347, 35.38367"
462050,"54.07813, 42.83645"
3046580,"47.92019, 19.69829"
8858159,"17.05833, -96.68333"
13512420,"49.04065, -122.32794"
2655117,"53.2, -0.98333"
2859532,"52.2721, 9.12912"
3404058,"-2.88083, -44.67472"
317543,"36.73778, 27.68417"
6072206,"45.3105, -73.73976"
1011918,"-28.18873, 23.53951"
3177845,"45.53154, 11.47789"
7259771,"37.89113, -85.96363"
4321988,"30.4874, -90.95753"
3387868,"-6.10393, -35.71095"
3580601,"19.2804, -81.28431"
3069466,"50.34456, 16.15147"
2814196,"52.41915, 13.15531"
12687465,"5.34392, -6.48204"
2645911,"53.53333, -2.38333"
3516281,"21.60587, -98.66275"
5155414,"40.73367, -82.7899"
13132769,"43.69663, 142.45143"
3006152,"43.7405, 7.314"
3183169,"45.51329, 11.46877"
2828228,"47.64446, 7.73914"
2667809,"57.72432, 11.77013"
1253621,"11.16892, 77.45431"
3592126,"14.38111, -90.27611"
6244789,"-41.31115, 174.77935"
591893,"59.35917, 27.42111"
2813410,"51.62678, 6.19792"
4945615,"42.3651, -71.0545"
1861174,"32.65273, 130.81159"
6113198,"45.86678, -74.08251"
1260176,"21.03333, 81.53333"
4502911,"39.89122, -74.92183"
574307,"55.93486, 37.83002"
294600,"32.95451, 35.1623"
2661834,"46.3181, 6.96457"
3578467,"16.02515, -61.69975"
3694212,"-7.9, -78.58333"
2619216,"55.75295, 12.10315"
4869386,"41.47555, -93.67883"
2640131,"55.05024, -1.74532"
1267105,"30.81725, 76.35478"
2522865,"37.61543, 15.07796"
504915,"51.03594, 36.73138"
1156836,"7.93599, 98.39664"
6943582,"-27.38472, 153.03062"
8657513,"38.00624, 23.78373"
2992293,"47.38845, 0.83208"
2523644,"37.38616, 14.69241"
5204278,"41.43395, -79.70644"
8442966,"16.6633, 74.21157"
1887974,"5.52719, 100.3841"
2661852,"47.47104, 7.5973"
672275,"46.46667, 26.91667"
2623181,"55.67383, 12.59541"
5188075,"40.99954, -75.18129"
2997210,"46.45493, -1.16629"
3836993,"-31.43963, -68.5205"
1268752,"25.38921, 84.78945"
8348900,"-27.53436, 153.0246"
921917,"-12.8436, 45.18436"
2269946,"37.09736, -8.46846"
5096813,"40.28761, -74.17237"
1275363,"26.64018, 93.60052"
5119218,"40.80066, -73.72846"
2876027,"50.64652, 8.70495"
2942093,"54.31824, 9.67301"
3048630,"47.44258, 19.36438"
11463037,"10.63231, 76.14052"
6048275,"50.94204, -114.05422"
618261,"47.77467, 27.51753"
3071675,"49.86809, 16.31298"
791371,"41.78611, 20.90611"
13157088,"20.92526, 72.92886"
2811317,"52.32957, 10.39255"
8601548,"27.75575, 129.03005"
1699264,"7.69333, 125.98889"
990802,"-33.39829, 25.44279"
3005735,"43.69886, 1.81211"
294634,"32.1547, 34.95372"
12718678,"28.49624, -11.33268"
6317407,"-10.31806, -58.35889"
11839903,"18.02137, -94.3886"
6534229,"41.02042, 14.61444"
2209055,"29.1614, 16.13904"
4647963,"36.302, -88.32671"
1714264,"10.9525, 125.03167"
2936631,"51.62578, 13.56232"
2698733,"59.47857, 17.74834"
2798887,"50.98463, 5.71433"
12382520,"49.56773, 8.97371"
2161311,"-42.97638, 147.30351"
699706,"46.22995, 34.64576"
3592019,"14.22806, -90.17583"
2024449,"50.09534, 136.50106"
1499007,"56.55687, 84.0814"
2284061,"6.46392, -5.99848"
4360321,"38.96875, -76.8634"
2716437,"57.66643, 14.97205"
2809320,"50.60528, 8.70238"
5296106,"33.29367, -111.30429"
5571109,"40.68043, -122.37084"
7261353,"33.37145, -111.43691"
12688104,"7.2551, -7.17898"
2342439,"11.1093, 10.4441"
6945603,"60.28613, 24.95733"
7261595,"47.33251, -122.10286"
2142245,"-34.3135, 148.30107"
3121404,"42.0635, -7.72459"
3037838,"49.25671, 6.13414"
4982394,"43.32397, -70.59144"
4062774,"33.57011, -86.89638"
1271408,"30.01975, 76.10408"
8347759,"-33.88657, 150.94802"
1857918,"34.88333, 132.43333"
636173,"64.13333, 28.41667"
3043860,"47.32178, 18.96249"
2940428,"49.4573, 10.85329"
4673389,"31.59405, -97.10889"
10689564,"22.68, 75.80482"
3674640,"6.47559, -72.97046"
318603,"39.38306, 31.03917"
1502526,"55.00264, 74.10281"
3441988,"-34.63459, -56.61739"
647930,"64.80985, 25.41545"
1255891,"34.50137, 74.38228"
490065,"44.77694, 41.17222"
2444329,"13.8559, 1.56707"
612230,"41.73691, 45.32596"
3452786,"-15.85278, -58.46028"
379272,"13.7463, 32.4996"
2824545,"48.67934, 9.75534"
8219830,"-26.71793, 153.05475"
6316546,"-19.83028, -43.09111"
2905154,"48.79267, 9.9337"
13156984,"28.52783, 77.28986"
